DATE,Search With Part No ||Part Name,"M/C
 No","M/B 
Ton",Shift,Part Number,Part Name,"Material 
Name",Grade,No. of Manpower,Cavity,BOP,Shift Time (Hrs),Cycle Time (Sec), ,Plan /Hour [Nos],Plan QTY,Achive_Qty,Ok Qty,Silver,Part Catchup,Half shot,9,Flow mark,Shrinkage,Black spot,Oil/spray Mark,Hole Block,Blow Hole,colour variation,Over Cut,Bubble,ID Over Size,ID under size,Line Mark,Pit Mark,Trials Rej,Others Rej.,Start up Rej.,Total Rej.,PPM,"Part Wt.
[Gms]",Runner Wt.(Gms),Ok Part In Kgs,Runner In Kgs,Rejection In Kgs,Lumps Kgs,Total RM In Kgs,RG Usage,RG Consumption ( +ve / - ve ),"Rejection
 [%]","Waste
[%]",Total Time (Mins),Available Time (Mins),Operating Time (Mins),Mould,Machine,Power cut,Manpower,Packaging,Grinding,Nozzle /HRS,Others,Leakage,Raw material,Proccesing,Preheating Time,Start up,No plan,"Mold change 
( SMED )",Total Down Time,Planed Down Time,Unplaned Down Time,Quality %,Production %,Availability %,Utilization %,O.E.E,Remark,Cost Of Part,Cost Of OK Production,Cost Of Rejection,Rej Qty/OK Qty,PPM Function,UG REJECTION,Cost Of Rejection UG,Month
22-Oct-22,BEZEL - FC430168 - MO- 21PR01039,2,450 T,Day,21PR01039,BEZEL - FC430168 - MO,PPTF,XPPA11805,2,1,450 T,12,65,,55,665,567,559,3,,,,,,,,,,,,,,,,,,,5,8,1410.934744,260,8,145.34,4.536,2.08,,151.956,,-6.616,0.01,0,720,640,580,,,20,,,,,,,,,,,,60,80,60,20,99%,85%,89%,91%,75%,"START UP, SILVER",89.56,50064.04,716.48,0,8000000,,0,Oct-22
22-Oct-22,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO- 21AL01047,4,100 T,Day,21AL01047,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO,NYLON 6,SA102,1,7,100 T,12,25,,1008,12096,5612,5564,,,38,,,,,,,,,,,,,,,,,10,48,855.3100499,12,8,66.768,44.896,0.576,,112.24,,-45.472,0.01,0,720,650,650,50,,20,,,,,,,,,,,,,70,0,70,99%,46%,90%,100%,42%,HALF SHOT,2.25,12519,108,0,48000000,,0,Oct-22
22-Oct-22,CAP AE - SH385A1801 - MO- 21MA00005,5,250 T,Day,21MA00005,CAP AE - SH385A1801 - MO,NYLON 66,ZYTEL 3189,2,4,250 T,12,36,,400,4800,3572,3496,76,,,,,,,,,,,,,,,,,,,,76,2127.659574,24,2,83.904,7.144,1.824,,92.872,,-8.968,0.02,0,720,650,650,,,20,,,,50,,,,,,,,,70,0,70,98%,74%,90%,100%,66%,SILVER,19.4,67822.4,1474.4,0,76000000,,0,Oct-22
22-Oct-22,G45 GLOVE BOX TOP - F2L05868-16 - MO- 21PR01040,1,1100 T,Day,21PR01040,G45 GLOVE BOX TOP - F2L05868-16 - MO,PPTF,08021 BLACK,2,1,1100 T,12,85,,42,508,433,427,,,,0,6,0,0,0,0,,0,,,0,,,0,0,0,,6,1385.681293,860,10,367.22,4.33,5.16,0,376.71,,-9.49,0.01,0,720,655,655,,45,20,0,0,0,,0,0,0,0,0,,,0,65,0,65,99%,85%,91%,100%,76%,FLOW MARK,182.02,77722.54,1092.12,0,6000000,,0,Oct-22
22-Oct-22,DIRT SHIELD - M06431855 - MO- 21TE00034,6,5 L,Day,21TE00034,DIRT SHIELD - M06431855 - MO,TPEE,5401,1,1,5 L,12,30,,120,1440,1420,1388,,,,,,,,,,28,,4,,,,,,,,,32,2253.521127,55,35,76.34,49.7,1.76,,127.8,112,60.54,0.02,0,720,700,700,,,20,,,,,,,,,,,,,20,0,20,98%,99%,97%,100%,94%,"BLOW HOLE,",63.27,87818.76,2024.64,0,32000000,,0,Oct-22
22-Oct-22,DIRT SHIELD - M06431849 - MO- 21TE00027,7,5 L,Day,21TE00027,DIRT SHIELD - M06431849 - MO,HDPE,B56003,1,1,5 L,12,33,,109,1309,1291,1239,,,,,,,,,,29,,8,15,,,,,,,,52,4027.88536,38,22,47.082,28.402,1.976,,77.46,75,44.622,0.04,0,720,700,700,,,20,,,,,,,,,,,,,20,0,20,96%,99%,97%,100%,92%,"BLOW HOLE, BUBBLE",10.54,13059.06,548.08,0,52000000,,0,Oct-22
22-Oct-22,BUMPER CAP REAR - M06901003 - MO- 21TE00042,8,80 T,Day,21TE00042,BUMPER CAP REAR - M06901003 - MO,Nylon 66,A3WG3,1,1,80 T,12,30,,120,1440,1370,1346,,,,,24,,,,,,,,,,,,,,,,24,1751.824818,20,2,26.92,2.74,0.48,,30.14,,-3.22,0.02,0,720,700,700,,,20,,,,,,,,,,,,,20,0,20,98%,95%,97%,100%,91%,"SLIVER, FLOW MARK",22.34,30069.64,536.16,0,24000000,,0,Oct-22
22-Oct-22,No Plan,8,-,Day,,0,-,-,1,-,-,12,-,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,-,-,0,0,0,,0,,0,0,0,720,720,0,,,,,,,,,,,,,,720,,0,720,0,0%,0%,100%,0%,0%,,-,0,0,0,0,,0,Oct-22
22-Oct-22,HANDLE LH - F1103800 - MO- 21AL01013,10,"250 T , 80T",Day,21AL01013,HANDLE LH - F1103800 - MO,PPTF20%,11805,1,1,"250 T , 80T",12,180,,20,240,125,120,,,,,,,,,,,,,,,,5,,,,,5,4000,212,9,25.44,1.125,1.06,,27.625,,-2.185,0.04,0,720,700,700,,,20,,,,,,,,,,,,,20,0,20,96%,52%,97%,100%,49%,LINE MARK,0,0,0,0,5000000,,0,Oct-22
22-Oct-22,HANDLE RH - F1103900 - MO- 21AL01014,10,"250 T , 80T",Day,21AL01014,HANDLE RH - F1103900 - MO,PPTF20%,11805,2,1,"250 T , 80T",12,180,,20,240,125,119,,,,,,,,,,,,,,,,6,,,,,6,4800,212,9,25.228,1.125,1.272,,27.625,,-2.397,0.05,0,720,700,700,,,20,,,,,,,,,,,,,20,0,20,95%,52%,97%,100%,48%,LINE MARK,0,0,0,0,6000000,,0,Oct-22
